# variant<TAB>canonical<TAB>category<TAB>severity (1=mild, 2=moderate, 3=strong)
arse	arse	anatomy	2
arses	arse	anatomy	2
arsehole	asshole	insult	3
arseholes	asshole	insult	3
ass	ass	anatomy	1
asses	ass	anatomy	1
asshole	asshole	insult	3
assholes	asshole	insult	3
bastard	bastard	insult	2
bastards	bastard	insult	2
bitch	bitch	insult	2
bitches	bitch	insult	2
bitching	bitch	insult	2
bitchy	bitch	insult	2
bollocks	bollocks	expletive	2
bugger	bugger	expletive	1
buggers	bugger	expletive	1
buggered	bugger	expletive	1
bullshit	bullshit	expletive	2
bullshitting	bullshit	expletive	2
cock	cock	anatomy	2
cocks	cock	anatomy	2
crap	crap	expletive	1
crappy	crap	expletive	1
cunt	cunt	anatomy	3
cunts	cunt	anatomy	3
damn	damn	expletive	1
damned	damn	expletive	1
dammit	damn	expletive	1
damnit	damn	expletive	1
dick	dick	anatomy	2
dicks	dick	anatomy	2
dickhead	dickhead	insult	3
dickheads	dickhead	insult	3
fck	fuck	expletive	3
ffs	fuck	abbreviation	2
fuck	fuck	expletive	3
fucked	fuck	expletive	3
fucker	fuck	expletive	3
fuckers	fuck	expletive	3
fucking	fuck	expletive	3
fucks	fuck	expletive	3
fuckup	fuck	expletive	3
fuckups	fuck	expletive	3
goddamn	damn	expletive	2
goddammit	damn	expletive	2
hell	hell	expletive	1
motherfucker	motherfucker	insult	3
motherfuckers	motherfucker	insult	3
piss	piss	expletive	1
pissed	piss	expletive	1
pisses	piss	expletive	1
pissing	piss	expletive	1
prick	prick	insult	2
pricks	prick	insult	2
shite	shit	expletive	2
shit	shit	expletive	2
shithead	shithead	insult	3
shitheads	shithead	insult	3
shits	shit	expletive	2
shitty	shit	expletive	2
stfu	fuck	abbreviation	2
twat	twat	insult	2
twats	twat	insult	2
wtf	fuck	abbreviation	2
